ligand,receptor,pathway_name,annotation
NODAL, CFC1,NODAL,Secreted Signaling
NODAL,ACVR1C,NODAL,Secreted Signaling
NODAL, ACVR2B,NODAL,Secreted Signaling
GDF1,ACVR1B,NODAL,Secreted Signaling
GDF1, ACVR2A,NODAL,Secreted Signaling
GDF1, CFC1,NODAL,Secreted Signaling
GDF1, ACVR2B,NODAL,Secreted Signaling
GDF1,ACVR1C,NODAL,Secreted Signaling
GDF3,ACVR1B,NODAL,Secreted Signaling
GDF3, ACVR2A,NODAL,Secreted Signaling
GDF3, CFC1,NODAL,Secreted Signaling
GDF3, ACVR2B,NODAL,Secreted Signaling
GDF3,ACVR1C,NODAL,Secreted Signaling
INHBA,ACVR1B,ACTIVIN,Secreted Signaling
INHBA, ACVR2A,ACTIVIN,Secreted Signaling
INHBA, ACVR2B,ACTIVIN,Secreted Signaling
INHBB,ACVR1B,ACTIVIN,Secreted Signaling
INHBB, ACVR2A,ACTIVIN,Secreted Signaling
INHBB, ACVR2B,ACTIVIN,Secreted Signaling
INHBB,ACVR1C,ACTIVIN,Secreted Signaling
INHBC,ACVR1B,ACTIVIN,Secreted Signaling
INHBC, ACVR2A,ACTIVIN,Secreted Signaling
INHBC, ACVR2B,ACTIVIN,Secreted Signaling
INHBC,ACVR1C,ACTIVIN,Secreted Signaling
INHBE,ACVR1B,ACTIVIN,Secreted Signaling
INHBE, ACVR2A,ACTIVIN,Secreted Signaling
INHBE, ACVR2B,ACTIVIN,Secreted Signaling
INHBE,ACVR1C,ACTIVIN,Secreted Signaling
 INHBB, ACVR2A,ACTIVIN,Secreted Signaling
 INHBB,ACVR1B,ACTIVIN,Secreted Signaling
 INHBB, ACVR2B,ACTIVIN,Secreted Signaling
 INHBB,ACVR1C,ACTIVIN,Secreted Signaling
INHBA,ACVR1C,ACTIVIN,Secreted Signaling
INHBA,ACVR2A,ACTIVIN,Secreted Signaling
 INHA,ACVR2A,ACTIVIN,Secreted Signaling
INHA,ACVR2B,ACTIVIN,Secreted Signaling
 INHBB,ACVR2B,ACTIVIN,Secreted Signaling
WNT1,FZD1,WNT,Secreted Signaling
WNT1, LRP5,WNT,Secreted Signaling
WNT1,FZD10,WNT,Secreted Signaling
WNT1,FZD2,WNT,Secreted Signaling
WNT1,LRP5,WNT,Secreted Signaling
WNT1, FZD3,WNT,Secreted Signaling
WNT1,FZD4,WNT,Secreted Signaling
WNT1,FZD5,WNT,Secreted Signaling
WNT1,FZD6,WNT,Secreted Signaling
WNT1, FZD7,WNT,Secreted Signaling
WNT1,FZD8,WNT,Secreted Signaling
WNT1,FZD9,WNT,Secreted Signaling
WNT10A,FZD1,WNT,Secreted Signaling
WNT10A, LRP5,WNT,Secreted Signaling
WNT10A,FZD10,WNT,Secreted Signaling
WNT10A,FZD2,WNT,Secreted Signaling
WNT10A,LRP5,WNT,Secreted Signaling
WNT10A, FZD3,WNT,Secreted Signaling
WNT10A,FZD4,WNT,Secreted Signaling
WNT10A,FZD5,WNT,Secreted Signaling
WNT10A,FZD6,WNT,Secreted Signaling
WNT10A, FZD7,WNT,Secreted Signaling
WNT10A,FZD8,WNT,Secreted Signaling
WNT10A,FZD9,WNT,Secreted Signaling
WNT10B,FZD1,WNT,Secreted Signaling
WNT10B, LRP5,WNT,Secreted Signaling
WNT10B,FZD10,WNT,Secreted Signaling
WNT10B,FZD2,WNT,Secreted Signaling
WNT10B,LRP5,WNT,Secreted Signaling
WNT10B, FZD3,WNT,Secreted Signaling
WNT10B,FZD4,WNT,Secreted Signaling
WNT10B,FZD5,WNT,Secreted Signaling
WNT10B,FZD6,WNT,Secreted Signaling
WNT10B, FZD7,WNT,Secreted Signaling
WNT10B,FZD8,WNT,Secreted Signaling
WNT10B,FZD9,WNT,Secreted Signaling
WNT16,FZD1,WNT,Secreted Signaling
WNT16, LRP5,WNT,Secreted Signaling
WNT16,FZD10,WNT,Secreted Signaling
WNT16,FZD2,WNT,Secreted Signaling
WNT16,LRP5,WNT,Secreted Signaling
WNT16, FZD3,WNT,Secreted Signaling
WNT16,FZD4,WNT,Secreted Signaling
WNT16,FZD5,WNT,Secreted Signaling
WNT16,FZD6,WNT,Secreted Signaling
WNT16, FZD7,WNT,Secreted Signaling
WNT16,FZD8,WNT,Secreted Signaling
WNT16,FZD9,WNT,Secreted Signaling
WNT2,FZD1,WNT,Secreted Signaling
WNT2, LRP5,WNT,Secreted Signaling
WNT2,FZD10,WNT,Secreted Signaling
WNT2,FZD2,WNT,Secreted Signaling
WNT2,LRP5,WNT,Secreted Signaling
WNT2, FZD3,WNT,Secreted Signaling
WNT2,FZD4,WNT,Secreted Signaling
WNT2,FZD5,WNT,Secreted Signaling
WNT2,FZD6,WNT,Secreted Signaling
WNT2, FZD7,WNT,Secreted Signaling
WNT2,FZD8,WNT,Secreted Signaling
WNT2,FZD9,WNT,Secreted Signaling
WNT2B,FZD1,WNT,Secreted Signaling
WNT2B, LRP5,WNT,Secreted Signaling
WNT2B,FZD10,WNT,Secreted Signaling
WNT2B,FZD2,WNT,Secreted Signaling
WNT2B,LRP5,WNT,Secreted Signaling
WNT2B, FZD3,WNT,Secreted Signaling
WNT2B,FZD4,WNT,Secreted Signaling
WNT2B,FZD5,WNT,Secreted Signaling
WNT2B,FZD6,WNT,Secreted Signaling
WNT2B, FZD7,WNT,Secreted Signaling
WNT2B,FZD8,WNT,Secreted Signaling
WNT2B,FZD9,WNT,Secreted Signaling
WNT3,FZD1,WNT,Secreted Signaling
WNT3, LRP5,WNT,Secreted Signaling
WNT3,FZD10,WNT,Secreted Signaling
WNT3,FZD2,WNT,Secreted Signaling
WNT3,LRP5,WNT,Secreted Signaling
WNT3, FZD3,WNT,Secreted Signaling
WNT3,FZD4,WNT,Secreted Signaling
WNT3,FZD5,WNT,Secreted Signaling
WNT3,FZD6,WNT,Secreted Signaling
WNT3, FZD7,WNT,Secreted Signaling
WNT3,FZD8,WNT,Secreted Signaling
WNT3,FZD9,WNT,Secreted Signaling
WNT3A,FZD1,WNT,Secreted Signaling
WNT3A, LRP5,WNT,Secreted Signaling
WNT3A,FZD10,WNT,Secreted Signaling
WNT3A,FZD2,WNT,Secreted Signaling
WNT3A,LRP5,WNT,Secreted Signaling
WNT3A, FZD3,WNT,Secreted Signaling
WNT3A,FZD4,WNT,Secreted Signaling
WNT3A,FZD5,WNT,Secreted Signaling
WNT3A,FZD6,WNT,Secreted Signaling
WNT3A, FZD7,WNT,Secreted Signaling
WNT3A,FZD8,WNT,Secreted Signaling
WNT3A,FZD9,WNT,Secreted Signaling
WNT4,FZD1,WNT,Secreted Signaling
WNT4, LRP5,WNT,Secreted Signaling
WNT4,FZD10,WNT,Secreted Signaling
WNT4,FZD2,WNT,Secreted Signaling
WNT4,LRP5,WNT,Secreted Signaling
WNT4, FZD3,WNT,Secreted Signaling
WNT4,FZD4,WNT,Secreted Signaling
WNT4,FZD5,WNT,Secreted Signaling
WNT4,FZD6,WNT,Secreted Signaling
WNT4, FZD7,WNT,Secreted Signaling
WNT4,FZD8,WNT,Secreted Signaling
WNT4,FZD9,WNT,Secreted Signaling
WNT6,FZD1,WNT,Secreted Signaling
WNT6, LRP5,WNT,Secreted Signaling
WNT6,FZD10,WNT,Secreted Signaling
WNT6,FZD2,WNT,Secreted Signaling
WNT6,LRP5,WNT,Secreted Signaling
WNT6, FZD3,WNT,Secreted Signaling
WNT6,FZD4,WNT,Secreted Signaling
WNT6,FZD5,WNT,Secreted Signaling
WNT6,FZD6,WNT,Secreted Signaling
WNT6, FZD7,WNT,Secreted Signaling
WNT6,FZD8,WNT,Secreted Signaling
WNT6,FZD9,WNT,Secreted Signaling
WNT7A,FZD1,WNT,Secreted Signaling
WNT7A, LRP5,WNT,Secreted Signaling
WNT7A,FZD10,WNT,Secreted Signaling
WNT7A,FZD2,WNT,Secreted Signaling
WNT7A,LRP5,WNT,Secreted Signaling
WNT7A, FZD3,WNT,Secreted Signaling
WNT7A,FZD4,WNT,Secreted Signaling
WNT7A,FZD5,WNT,Secreted Signaling
WNT7A,FZD6,WNT,Secreted Signaling
WNT7A, FZD7,WNT,Secreted Signaling
WNT7A,FZD8,WNT,Secreted Signaling
WNT7A,FZD9,WNT,Secreted Signaling
WNT7B,FZD1,WNT,Secreted Signaling
WNT7B, LRP5,WNT,Secreted Signaling
WNT7B,FZD10,WNT,Secreted Signaling
WNT7B,FZD2,WNT,Secreted Signaling
WNT7B,LRP5,WNT,Secreted Signaling
WNT7B, FZD3,WNT,Secreted Signaling
WNT7B,FZD4,WNT,Secreted Signaling
WNT7B,FZD5,WNT,Secreted Signaling
WNT7B,FZD6,WNT,Secreted Signaling
WNT7B, FZD7,WNT,Secreted Signaling
WNT7B,FZD8,WNT,Secreted Signaling
WNT7B,FZD9,WNT,Secreted Signaling
WNT8A,FZD1,WNT,Secreted Signaling
WNT8A, LRP5,WNT,Secreted Signaling
WNT8A,FZD10,WNT,Secreted Signaling
WNT8A,FZD2,WNT,Secreted Signaling
WNT8A,LRP5,WNT,Secreted Signaling
WNT8A, FZD3,WNT,Secreted Signaling
WNT8A,FZD4,WNT,Secreted Signaling
WNT8A,FZD5,WNT,Secreted Signaling
WNT8A,FZD6,WNT,Secreted Signaling
WNT8A, FZD7,WNT,Secreted Signaling
WNT8A,FZD8,WNT,Secreted Signaling
WNT8A,FZD9,WNT,Secreted Signaling
WNT8B,FZD1,WNT,Secreted Signaling
WNT8B, LRP5,WNT,Secreted Signaling
WNT8B,FZD10,WNT,Secreted Signaling
WNT8B,FZD2,WNT,Secreted Signaling
WNT8B,LRP5,WNT,Secreted Signaling
WNT8B, FZD3,WNT,Secreted Signaling
WNT8B,FZD4,WNT,Secreted Signaling
WNT8B,FZD5,WNT,Secreted Signaling
WNT8B,FZD6,WNT,Secreted Signaling
WNT8B, FZD7,WNT,Secreted Signaling
WNT8B,FZD8,WNT,Secreted Signaling
WNT8B,FZD9,WNT,Secreted Signaling
WNT9A,FZD1,WNT,Secreted Signaling
WNT9A, LRP5,WNT,Secreted Signaling
WNT9A,FZD10,WNT,Secreted Signaling
WNT9A,FZD2,WNT,Secreted Signaling
WNT9A,LRP5,WNT,Secreted Signaling
WNT9A, FZD3,WNT,Secreted Signaling
WNT9A,FZD4,WNT,Secreted Signaling
WNT9A,FZD5,WNT,Secreted Signaling
WNT9A,FZD6,WNT,Secreted Signaling
WNT9A, FZD7,WNT,Secreted Signaling
WNT9A,FZD8,WNT,Secreted Signaling
WNT9A,FZD9,WNT,Secreted Signaling
WNT9B,FZD1,WNT,Secreted Signaling
WNT9B, LRP5,WNT,Secreted Signaling
WNT9B,FZD10,WNT,Secreted Signaling
WNT9B,FZD2,WNT,Secreted Signaling
WNT9B,LRP5,WNT,Secreted Signaling
WNT9B, FZD3,WNT,Secreted Signaling
WNT9B,FZD4,WNT,Secreted Signaling
WNT9B,FZD5,WNT,Secreted Signaling
WNT9B,FZD6,WNT,Secreted Signaling
WNT9B, FZD7,WNT,Secreted Signaling
WNT9B,FZD8,WNT,Secreted Signaling
WNT9B,FZD9,WNT,Secreted Signaling
WNT1, LRP6,WNT,Secreted Signaling
WNT1,FZD3,WNT,Secreted Signaling
WNT1,FZD7,WNT,Secreted Signaling
WNT10A, LRP6,WNT,Secreted Signaling
WNT10A,FZD3,WNT,Secreted Signaling
WNT10A,FZD7,WNT,Secreted Signaling
WNT10B, LRP6,WNT,Secreted Signaling
WNT10B,FZD3,WNT,Secreted Signaling
WNT10B,FZD7,WNT,Secreted Signaling
WNT16, LRP6,WNT,Secreted Signaling
WNT16,FZD3,WNT,Secreted Signaling
WNT16,FZD7,WNT,Secreted Signaling
WNT2, LRP6,WNT,Secreted Signaling
WNT2,FZD3,WNT,Secreted Signaling
WNT2,FZD7,WNT,Secreted Signaling
WNT2B, LRP6,WNT,Secreted Signaling
WNT2B,FZD3,WNT,Secreted Signaling
WNT2B,FZD7,WNT,Secreted Signaling
WNT3, LRP6,WNT,Secreted Signaling
WNT3,FZD3,WNT,Secreted Signaling
WNT3,FZD7,WNT,Secreted Signaling
WNT3A, LRP6,WNT,Secreted Signaling
WNT3A,FZD3,WNT,Secreted Signaling
WNT3A,FZD7,WNT,Secreted Signaling
WNT4, LRP6,WNT,Secreted Signaling
WNT4,FZD3,WNT,Secreted Signaling
WNT4,FZD7,WNT,Secreted Signaling
WNT6, LRP6,WNT,Secreted Signaling
WNT6,FZD3,WNT,Secreted Signaling
WNT6,FZD7,WNT,Secreted Signaling
WNT7A, LRP6,WNT,Secreted Signaling
WNT7A,FZD3,WNT,Secreted Signaling
WNT7A,FZD7,WNT,Secreted Signaling
WNT7B, LRP6,WNT,Secreted Signaling
WNT7B,FZD3,WNT,Secreted Signaling
WNT7B,FZD7,WNT,Secreted Signaling
WNT8A, LRP6,WNT,Secreted Signaling
WNT8A,FZD3,WNT,Secreted Signaling
WNT8A,FZD7,WNT,Secreted Signaling
WNT8B, LRP6,WNT,Secreted Signaling
WNT8B,FZD3,WNT,Secreted Signaling
WNT8B,FZD7,WNT,Secreted Signaling
WNT9A, LRP6,WNT,Secreted Signaling
WNT9A,FZD3,WNT,Secreted Signaling
WNT9A,FZD7,WNT,Secreted Signaling
WNT9B, LRP6,WNT,Secreted Signaling
WNT9B,FZD3,WNT,Secreted Signaling
WNT9B,FZD7,WNT,Secreted Signaling
WNT5A,FZD1,ncWNT,Secreted Signaling
WNT5A,FZD10,ncWNT,Secreted Signaling
WNT5A,FZD2,ncWNT,Secreted Signaling
WNT5A,FZD3,ncWNT,Secreted Signaling
WNT5A,FZD4,ncWNT,Secreted Signaling
WNT5A,FZD5,ncWNT,Secreted Signaling
WNT5A,FZD6,ncWNT,Secreted Signaling
WNT5A,FZD7,ncWNT,Secreted Signaling
WNT5A,FZD8,ncWNT,Secreted Signaling
WNT5A,FZD9,ncWNT,Secreted Signaling
WNT5A,MCAM,ncWNT,Secreted Signaling
WNT5B,FZD1,ncWNT,Secreted Signaling
WNT5B,FZD10,ncWNT,Secreted Signaling
WNT5B,FZD2,ncWNT,Secreted Signaling
WNT5B,FZD3,ncWNT,Secreted Signaling
WNT5B,FZD4,ncWNT,Secreted Signaling
WNT5B,FZD5,ncWNT,Secreted Signaling
WNT5B,FZD6,ncWNT,Secreted Signaling
WNT5B,FZD7,ncWNT,Secreted Signaling
WNT5B,FZD8,ncWNT,Secreted Signaling
WNT5B,FZD9,ncWNT,Secreted Signaling
WNT11,FZD1,ncWNT,Secreted Signaling
WNT11,FZD10,ncWNT,Secreted Signaling
WNT11,FZD2,ncWNT,Secreted Signaling
WNT11,FZD3,ncWNT,Secreted Signaling
WNT11,FZD4,ncWNT,Secreted Signaling
WNT11,FZD5,ncWNT,Secreted Signaling
WNT11,FZD6,ncWNT,Secreted Signaling
WNT11,FZD7,ncWNT,Secreted Signaling
WNT11,FZD8,ncWNT,Secreted Signaling
WNT11,FZD9,ncWNT,Secreted Signaling
EGF,EGFR,EGF,Secreted Signaling
EGF,ERBB2,EGF,Secreted Signaling
EGF, EGFR,EGF,Secreted Signaling
TGFA,EGFR,EGF,Secreted Signaling
TGFA,ERBB2,EGF,Secreted Signaling
TGFA, EGFR,EGF,Secreted Signaling
AREG,EGFR,EGF,Secreted Signaling
AREG,ERBB2,EGF,Secreted Signaling
AREG, EGFR,EGF,Secreted Signaling
BTC,EGFR,EGF,Secreted Signaling
BTC,ERBB2,EGF,Secreted Signaling
BTC, EGFR,EGF,Secreted Signaling
BTC,ERBB4,EGF,Secreted Signaling
BTC, ERBB4,EGF,Secreted Signaling
HBEGF,EGFR,EGF,Secreted Signaling
HBEGF,ERBB2,EGF,Secreted Signaling
HBEGF, EGFR,EGF,Secreted Signaling
HBEGF,ERBB4,EGF,Secreted Signaling
HBEGF, ERBB4,EGF,Secreted Signaling
EREG,EGFR,EGF,Secreted Signaling
EREG,ERBB2,EGF,Secreted Signaling
EREG, EGFR,EGF,Secreted Signaling
EREG,ERBB4,EGF,Secreted Signaling
EREG, ERBB4,EGF,Secreted Signaling
NRG1,ERBB3,NRG,Secreted Signaling
NRG1, ERBB2,NRG,Secreted Signaling
NRG1,ERBB4,NRG,Secreted Signaling
NRG1,ERBB2,NRG,Secreted Signaling
NRG1, ERBB4,NRG,Secreted Signaling
NRG2,ERBB3,NRG,Secreted Signaling
NRG2, ERBB2,NRG,Secreted Signaling
NRG2,ERBB4,NRG,Secreted Signaling
NRG2,ERBB2,NRG,Secreted Signaling
NRG2, ERBB4,NRG,Secreted Signaling
NRG3,ERBB4,NRG,Secreted Signaling
NRG3,ERBB2,NRG,Secreted Signaling
NRG3, ERBB4,NRG,Secreted Signaling
NRG4,ERBB4,NRG,Secreted Signaling
NRG4,ERBB2,NRG,Secreted Signaling
NRG4, ERBB4,NRG,Secreted Signaling
NRG1,ITGAV,NRG,Secreted Signaling
NRG1, ITGB3,NRG,Secreted Signaling
FGF1,FGFR1,FGF,Secreted Signaling
FGF1,FGFR2,FGF,Secreted Signaling
FGF1,FGFR3,FGF,Secreted Signaling
FGF1,FGFR4,FGF,Secreted Signaling
FGF2,FGFR1,FGF,Secreted Signaling
FGF2,FGFR2,FGF,Secreted Signaling
FGF2,FGFR3,FGF,Secreted Signaling
FGF2,FGFR4,FGF,Secreted Signaling
FGF4,FGFR1,FGF,Secreted Signaling
FGF4,FGFR2,FGF,Secreted Signaling
FGF4,FGFR3,FGF,Secreted Signaling
FGF4,FGFR4,FGF,Secreted Signaling
FGF5,FGFR1,FGF,Secreted Signaling
FGF5,FGFR2,FGF,Secreted Signaling
FGF5,FGFR3,FGF,Secreted Signaling
FGF5,FGFR4,FGF,Secreted Signaling
FGF6,FGFR1,FGF,Secreted Signaling
FGF6,FGFR2,FGF,Secreted Signaling
FGF6,FGFR3,FGF,Secreted Signaling
FGF6,FGFR4,FGF,Secreted Signaling
FGF7,FGFR1,FGF,Secreted Signaling
FGF7,FGFR2,FGF,Secreted Signaling
FGF3,FGFR1,FGF,Secreted Signaling
FGF3,FGFR2,FGF,Secreted Signaling
FGF10,FGFR1,FGF,Secreted Signaling
FGF10,FGFR2,FGF,Secreted Signaling
FGF22,FGFR2,FGF,Secreted Signaling
FGF8,FGFR1,FGF,Secreted Signaling
FGF8,FGFR2,FGF,Secreted Signaling
FGF8,FGFR3,FGF,Secreted Signaling
FGF8,FGFR4,FGF,Secreted Signaling
FGF17,FGFR1,FGF,Secreted Signaling
FGF17,FGFR2,FGF,Secreted Signaling
FGF17,FGFR3,FGF,Secreted Signaling
FGF17,FGFR4,FGF,Secreted Signaling
FGF18,FGFR1,FGF,Secreted Signaling
FGF18,FGFR2,FGF,Secreted Signaling
FGF18,FGFR3,FGF,Secreted Signaling
FGF18,FGFR4,FGF,Secreted Signaling
FGF9,FGFR1,FGF,Secreted Signaling
FGF9,FGFR2,FGF,Secreted Signaling
FGF9,FGFR3,FGF,Secreted Signaling
FGF9,FGFR4,FGF,Secreted Signaling
FGF20,FGFR1,FGF,Secreted Signaling
FGF20,FGFR2,FGF,Secreted Signaling
FGF20,FGFR3,FGF,Secreted Signaling
FGF20,FGFR4,FGF,Secreted Signaling
FGF16,FGFR1,FGF,Secreted Signaling
FGF16,FGFR2,FGF,Secreted Signaling
FGF16,FGFR3,FGF,Secreted Signaling
FGF16,FGFR4,FGF,Secreted Signaling
FGF19,FGFR1,FGF,Secreted Signaling
FGF19,FGFR2,FGF,Secreted Signaling
FGF19,FGFR3,FGF,Secreted Signaling
FGF19,FGFR4,FGF,Secreted Signaling
FGF21,FGFR1,FGF,Secreted Signaling
FGF21,FGFR3,FGF,Secreted Signaling
FGF23,FGFR1,FGF,Secreted Signaling
FGF23,FGFR3,FGF,Secreted Signaling
FGF23,FGFR4,FGF,Secreted Signaling
PDGFA,PDGFRA,PDGF,Secreted Signaling
PDGFA,PDGFRB,PDGF,Secreted Signaling
PDGFB,PDGFRA,PDGF,Secreted Signaling
PDGFB,PDGFRB,PDGF,Secreted Signaling
PDGFC,PDGFRA,PDGF,Secreted Signaling
PDGFD,PDGFRB,PDGF,Secreted Signaling
VEGFA,FLT1,VEGF,Secreted Signaling
VEGFA,KDR,VEGF,Secreted Signaling
VEGFB,FLT1,VEGF,Secreted Signaling
VEGFC,FLT4,VEGF,Secreted Signaling
VEGFC,KDR,VEGF,Secreted Signaling
VEGFD,FLT4,VEGF,Secreted Signaling
VEGFD,KDR,VEGF,Secreted Signaling
PGF,FLT1,VEGF,Secreted Signaling
VEGFA, KDR,VEGF,Secreted Signaling
VEGFC, KDR,VEGF,Secreted Signaling
VEGFD, KDR,VEGF,Secreted Signaling
